question,A,B,C,D,correct_answer,category,type
"According to the 125 Decree on Air Traffic Management: The Operation Department( Ministry of Nation Defense) shall designate and  air traffic control services, aeronautical information services providers of danger areas at least………hours prior any operations performed that may give risk to civil flight operations.",12,24,48,72,B,,LTC_APP
"The generation of minimum safe altitude warnings is a function of an ATC radar-processing system. The objective of the MSAW function is to assist in the prevention of controlled flight into………………accidents by generating in a timely manner, a warning of the possible infringement of a minimum safe altitude.",Traffic,Moutain,Terain,Balloon,C,,LTC_APP
"The criterion which shall be used to determine that a specific level is occupied by an aircraft shall be +_60m(200ft) in RVSM airspace. In  other airspace, it shall be………..,except that the appropriate ATS authority may specify a smaller criterion, but not less than +_60m(200ft), if this is found to be more practical.",+_90m(300ft),+_60m(200ft),+_30m(100ft),+_120m(400ft),A,,LTC_APP
An IFR flight may be cleared to execute a visual approach provided the pilot can maintain visual reference to the terrain and the reported ceiling is…………..the level of the beginning of the initial approach segment for the aircraft so cleared; or the pilot reports at the level of the beginning of the………..or at any time during the instrument approach procedure that the meteorological conditions are such that with reasonable assurance a visual approach and landing can be completed.,Below…………final approach segment.,At or above…….initial approach segment.,Upper………..missed approach procedure,Below……………intermediate approach segment.,B,,LTC_APP
"When SSR radar is not available, radar identification may be achieved by instructing the aircraft to make heading changes of at least:",10 degrees,20 degrees,30 degrees,40 degrees,C,,LTC_APP
Vertical separation if other known traffic behind aircraft dumping fuel within 15 minutes flying time or a distance of 93km (50NM) by at least 300m (1000ft) if above the aircraft dumping fuel; and,At least 600m (2000ft) if below the aircraft dumping fuel.,At least 300m (1000ft) if below the aircraft dumping fuel.,At least 900m (3000ft) if below the aircraft dumping fuel.,At least 1200m (4000ft) if below the aircraft dumping fuel.,C,,LTC_APP
Use of surface movement radar (SMR):,Monitor the movement of aircraft and vehicales on the manoeuving area; provide directional information to pilots and vehical drivers as necessary;,Provide advise and assistance for the safe and efficient movement of aircraft and vehicales on the manoueving area.,Both 1 and 2.,1 or 2,C,,LTC_APP
The final vector shall enable the aircraft to be established in level flight on the final approach track prior to intercepting the specified or norminal glide path if an ILS or radar approach is to be made and should provide an intercept angle with the final approach track of ……………..,30 degrees or less,45  degrees or less,25  degrees or less,Non of above,B,,LTC_APP
"Whenever a code is assigned to an aircraft, the setting of this code shall be verified by controller:",At the first contact.,At the second communication,At the appropriate opportunity,At the earliest opportunity,D,,LTC_APP
"On a non-precision approach a so-called” straight-in-approach” is considered acceptable, if the angle between the final approach track and runway centerline is:",40 degrees or less,20 degrees or less,10 degrees or less,30 degrees or less,D,,LTC_APP
Which aircraft along the following has first priority?,Departing aircraft.,Taxiing aircraft.,Arriving aircraft on final approach.,Arriving aircraft in the traffic pattern.,C,,LTC_APP
Pilot should notify air traffic control a revised estimated time if the reported estimate for the reporting point is found to be in error in excess of:,_+ 5 minutes,_+3 minutes,_+4 minutes,_+2 minutes,B,,LTC_APP
The request to change from IFR flight to VFR flight is:,Made by pilot-in-command,Suggested by ATC when VMC exist,1 and 2,1 or  2,A,,LTC_APP
The speed reductions not exceeding plus/minus 40km/h (20kt) IAS should be used for :,Aircraft on inital and intermediate approach segments.,Aircraft on  intermediate approach segment.,Aircraft on intermediate  and final approach segments.,Aircraft on final approach segment.,C,,LTC_APP
Radar separation based upon primary radar shall be the distance:,Between the edges of the radar blips,Between the centers of the radar blips.,Between the edges of one blip and the center of the other.,Between the nearest edges of  the blips.,B,,LTC_APP
Transfer of identity of a radar blip from the radar controller to another should be attempted wheen it is considered that:,The aircraft is on the frequency of the accepting controller.,The aircraft is over the common boundary.,The aircraft is within the coverage of the accepting controller’s rasdar display.,The aircraft reports over the last fix displayed on the radar display of transferring controller.,C,,LTC_APP
We can distinguish  types of departure routes. During a straight departure the initial departure track is within.,5 degrees the alignment of the runway center-line.,10 degrees the alignment of the runway center-line.,25 degrees the alignment of the runway center-line.,15 degrees the alignment of the runway center-line.,D,,LTC_APP
A controlled flight is requested form the approriate ATC unit whenever the average. True Airpeed at crusiing level varies or is expected to varry from that given in the flight plan by plus or minute,0.05,0.03,0.02,0.1,A,,LTC_APP
The term” Runway-in-use” shall be used to indicate the runway or runway that:,"At all times, are considered by the aerodrome control tower to be the most suitable for use by the types of aircraft expected to land or take off at the aerodrome.","At a particular time, are considered by the aerodrome control tower to be the most suitable for use by the types of aircraft expected to land or take off at the aerodrome.","At a particular time, are considered by the area control center to be the most suitable for use by the types of aircraft expected to land or take off at the aerodrome.","At a particular time, are considered by the aerodrome control tower to be the most suitable for use by the types of aircraft expected for training  at the aerodrome.",B,,LTC_APP
The controller shall…………. To ascertain that the clearance or instruction has been correctly acknowledge by flight crew and shall take immediately action to correct any discrepancies revealed by the…..,Observe…….listen,Readback………listen.,Listen……….readback.,Readback……readback.,C,,LTC_APP
Minimum flight altitude ensures( according to Annex II rules of the air):,At least 300m(1000ft) above MSL.,At least 300m(1000ft) above terrain.,"At least 300m(1000ft) above highest obstacle in plain area, 600m above highest obstacle in high terrain mountainuos area.",Non of the above.,C,,LTC_APP
"If Two aircraft are converging at approximately the same level, the aircraft which shall have priority:",The one that has the other on its left.,The one that has the other on its right.,The one that has the other in sight first.,The one that is faster than the other.,A,,LTC_APP
"Except when a clearance is obtained from an ATC unit, a VFR flight cannot enter or leave a control zone when ceiling is less than:",1500 feet or visibility is les than 5 km.,1000 feet or visibility is les than 5 km.,2000 feet or visibility is les than 5 km.,1000 feet or visibility is les than 8 km.,A,,LTC_APP
Which aircraft along the following has first priority:,Departing aircraft.,Taxiing aircraft.,Arriving aircraft on final approach.,Arriving aircraft in the traffic pattern.,C,,LTC_APP
"When the destination aerodrome is outside controlled airspace, the ATC unit responsible for:",The last controlled airspace through which an aircraft will pass shall issue the appropriate clearance for flight to the limit of that controlled airspace.,The next controlled airspace through which an aircraft will pass shall issue the appropriate clearance for flight to the limit of that controlled airspace.,Issuing as soon as practicable an amended clearance to the destination aerodrome.,"Specifying the name of the appropriate significant point, or aerodrome, or controlled airspace boundary.",A,,LTC_APP
Aircraft reports at FL150 but the radar display shows FL155. What action should the radar controller take?,Draw the pilot”s attention on the difference in levels.,Inform the pilot of the difference and request him to check his altimeter setting and confirm level.,Request the pilot to stop mode C transmission.,Inform the pilot of the difference and request him to keep his mode C on.,B,,LTC_APP
What should a radar controller do if the code displayed on the radar screen is different from the code he has just asked the pilot to squawk?,Request the pilot to stop squawk.,Request the pilot to recycle the assigned mode and code.,The pilot shall be requested to confirm the code and reselect the correct code .,Request the pilot to switch the transponder from ON to STANDBY,C,,LTC_APP
The standard minimum radar separation in Viet Nam í:,"5NM within 40NM from TSN,DAN, and NBA airports and 10NM elsewhere.","5NM within 40NM from TSN,DAN, and NBA airports; the 10NM between 40NM to 80NM from those airports and 15NM elsewhere.","5NM within 80NM from TSN,DAN, and NBA airports and 15NM elsewhere.","5NM within 40NM from TSN,DAN airports and 10NM elsewhere.",A,,LTC_APP
An aircraft making a radar approach should be advised to consider executing a missed approach if the aircraft is not visible on the radar display for significant interval during the last…….. of the approach.,5 NM,4 NM,3 NM,2 NM,D,,LTC_APP
Speed adjustments may not be requested or applied after the aircraft has passed a point of…………… from the threshold on final approach:,3 NM,4 NM,5 NM,8 NM,B,,LTC_APP
"Before providing radar service to an aircraft, the radar controller shall:",Establish radar identity of that aircraft.,Provide the radar information to the aircraft.,Request the pilot to change heading 30 degrees or more.,Instruct the pilot to operate SPI feature.,A,,LTC_APP
"When two or more aircraft are at the same cruising level, the……aircraft shall normally have priority:",Preceding,Succeeding,Fastest,Biggest,A,,LTC_APP
Time separation minima between holding aircraft in a holding pattern and en-route aircraft which are on the same flight level is:,10 minutes,3 minutes,5 minutes,As long as outbound time is,C,,LTC_APP
"A light aircraft is approaching for landing behind a heavy aircraft, the time separation minima between them must be:",1 minute,2minutes,3 minutes,4 minutes,C,,LTC_APP
A radiotelephony distress message transmit by an aircraft should commence with the word “………”,SOS,MAYDAY,PANPAN,EMERGENCY,B,,LTC_APP
The standard controller-pilot phraseology for a controller to ascertain the RVSM approval status of an aircraft is:,( call sign) confirm RVSM approved.,( call sign) affirm RVSM.,( call sign) do you have RVSM approval.,Non of the above.,A,,LTC_APP
"For traffic on reciprocal tracks where lateral separation is not provide, vertical separation shall be kept at least…………prior to and after the time the aircraft are estimated to pass, or are estimated to have passed.",10 minutes,5 minutes,15minutes,As long as the aircraft are estimated to have passed each other.,A,,LTC_APP
The Director of Airport Authority shall decide to temporarily close an airport or aerodrome for not more than ……….hours and report such decision to the Minister of Transport without delay.,72,48,36,24,D,,LTC_APP
Who have  the right to open an airport or aerodrome   based on the airport or aerodrome system plans?,The Prime Minister,The Minister of Transport,The  Director of Airport Authority,None of above,A,,LTC_APP
"Vietnamese and foreign aircraft operating international flights shall be permitted only to take off and land at the international  airports. In the case of take off and landing at domestic airports  or aerodromes, the shall acquire approval from the:",The Minister of Transport,The  Director of Airport Authority,The Prime Minister,Minister of  Nation Defense,C,,LTC_APP
The establishment and operation of airways shall be approved by:,The Prime Minister,The Minister of Transport,General Director of VATM,The Minister of Nation Defense,A,,LTC_APP
"…………………Shall decide to establish the prohibited and restricted area inthe territory of VietNam in order to ensure the national defense, security, and social safety.",The Prime Minister,The Minister of Transport,Minister of  Nation Defense,Ministry of Foreign Affair,A,,LTC_APP
"To suspend flights; require aircraft to land at an airport or  aerodrome; search, hold aircraft in custody; carry out the order of aircraft arrest; suspend activities of crew members who do not meet requirements on aviation security and safety. They are the duties, authority of:",General Director of  these  airlines,Airport Director,Airport  Authority,General  Director of  VATM,C,,LTC_APP
"The air traffic control units involved shall require the aircraft to land at the airport, aerodrome in accordance with the order given by the……………………and other competent governmental authority.",Director of Airport Authority,Airport Director,General  Director of  VATM,None of  above,A,,LTC_APP
Who shall decide to establish the prohibited and restricted areas in the territory of VietNam  ?,The Ministry of National Defence,The Ministry of Transport,The Prime Minister,The Ministry of Foreign Affairs,C,,LTC_APP
"If an arriving aircraft is making a straight-in approach, a departing aircraft may take off in any direction until……….. before the arriving aircraft is estimated to be over the instrument runway.",10 minutes.,2 minutes.,5 minutes.,3 minutes.,C,,LTC_APP
"If an arriving aircraft is making a complete instrument approach, a departing aircraft may take off in any direction until:",The arriving aircraft has started its procedure turn or base turn leading to final approach.,The arriving aircraft has commenced initial approach.,The arriving aircraft has entered ILS glide path.,The pilot of the arriving aircraft has observed the departing aircraft.,A,,LTC_APP
Radar separation between two wake turbulence category “ HEAVY” aircrafts on final shall be at least:,3NM.,4NM.,5NM.,6NM.,B,,LTC_APP
Minimum flight altitude ensures( according to Viet Nam rules of the air):,At least 300m(1000ft) above MSL.,At least 300m(1000ft) above terrain.,"At least 300m(1000ft) above highest obstacle in plain area, 600m(2000ft) above highest obstacle in mountain area.",Non of the above.,C,,LTC_APP
"Except for aircraft in a state of emergency, or during communication failure or unlawful interference situations, and unless otherwise agreed by regional air navigation agreement or between a transferring and an accepting ATC unit, the transferring unit shall assign:",Code 2000 to a controlled flight prior to transfer of communications.,Code 2000 to a controlled flight prior to terminate the radar service.,Code 2000 to a controlled flight prior to accept the control.,Multiple code to a controlled flight prior to transfer of communications.,A,,LTC_APP
Other known traffic should be separated from the aircraft dumping fuel by:,"At least 19km(10NM) horizontally, but not behind the aircraft dumping fuel.",Vertical separation if behind the aircraft dumping fuel within 10 minutes flying time or a distance of 93km(50NM)….,"At least 19km(10NM) horizontally, but not front of the aircraft dumping fuel.","At least 37km(20NM) horizontally, but not behind the aircraft dumping fuel.",A,,LTC_APP
"To determine effect of wake turbulence, aircraft are grouped into the following categories:","CAT I, CAT II, CAT III;","SMALL, MEDIUM, LARGE;","LIGHT, MEDIUM, HEAVY;","CAT A, CAT B, CAT C.",C,,LTC_APP
What is the speed limitation for IFR flights in airspace class C,250 kts IAS,250 kts TAS,Not applicable,250 kts IAS below 10.000 ft AMSL,D,,LTC_APP
Meteorological messages (priority indicator GG) shall comprise:,Messages concerning forecasts.,Area and route forecasts.,Messages concerning observations and reports.,All of the above.,D,,LTC_APP
The order of priority for the transmission of messages in the aeronautical fixed telecommunication network shall be as follows: Transmission priority indicator,SS DD FF GG KK.,DD FF GG KK SS.,FF GG KK SS DD.,GG KK SS DD FF.,A,,LTC_APP
The four-letter location indicators are listed in …,Doc 8585,Doc 7910.,Doc 8186.,Doc 9432.,B,,LTC_APP
The three-letter designators are listed in…,Doc 7910.,Doc 8186.,Doc 8585.,Doc 9432.,C,,LTC_APP
"AFTN destination stations shall retain, for a period of at least…",90 days.,60 days.,45 days.,30 days.,D,,LTC_APP
"An aircraft shall not change the type of its radiotelephony call sign during flight, except temporarily on the instruction of…",An air traffic control unit.,Ground control unit.,Approach control unit.,Area control unit.,A,,LTC_APP
"Except for reasons of safety, no transmission shall be directed to an aircraft …",During take-off.,During the last part of the final approach.,During the landing roll.,All of the above.,D,,LTC_APP
"In the frequency band 117.975 – 137.000 MHz, the lowest assignable frequency shall be…",118.000 MHz.,117.975 MHz.,117.985 MHz.,117.995 MHz.,A,,LTC_APP
"In the frequency band 117.975 – 137.000 MHz, and the highest assignable frequency shall be…",137.000 MHz.,136.975 MHz.,136.965 MHz.,136.955 MHz.,B,,LTC_APP
Airborne collision avoidance system (ACAS).,An aircraft system based on secondary surveillance radar (SSR) transponder signals.,An aircraft system based on primary radar signals.,1 or 2.,1 and 2.,A,,LTC_APP
Surveillance radar:,Radar equipment used to determine the altitude of an aircraft.,Radar equipment used to determine the position of an aircraft in range and azimuth.,Radar equipment used to determine the position of an aircraft in range.,Radar equipment used to determine the position of an aircraft in azimuth.,B,,LTC_APP
Secondary surveillance radar (SSR):,A surveillance radar system which uses transmitters.,A surveillance radar system which uses receivers.,A surveillance radar system which uses transmitters/receivers (interrogators) and transponders.,A surveillance radar system which uses transponders.,C,,LTC_APP
Mode A code to provide recognition of an aircraft in an emergency:,Code 7100.,Code 7500.,Code 7600.,Code 7700.,D,,LTC_APP
Mode A code to provide recognition of an aircraft with radio communication failure:,Code 7200.,Code 7500.,Code 7600.,Code 7700.,C,,LTC_APP
Mode A code to provide recognition of an aircraft which is being subjected to unlawful interference:,Code 7400.,Code 7500.,Code 7600.,Code 7700.,B,,LTC_APP
Mode A code shall be reserved to provide recognition of an aircraft which has not received any instructions from air traffic control units to operate the transponder.,Code 2000.,Code 2100.,Code 2200.,Code 2300.,A,,LTC_APP
The Mode A code shall be manually selected from…,The 1 096 codes available.,The 2 096 codes available.,The 3 096 codes available.,The 4 096 codes available.,D,,LTC_APP
"Air traffic service, a generic term meaning variously, shall comprise:",Flight information service.,"Alerting service, air traffic advisory service.",Air traffic control service.,All above.,D,,LTC_APP
Air traffic control service shall be:,Area control service.,"Approach control service, aerodrome control service.",1 or 2.,1 and 2.,C,,LTC_APP
