question,A,B,C,D,correct_answer,category,type
A visual docking guidance system shall be provided:,"when it is intended to indicate, by a visual aid, the precise
positioning of an aircraft on an aircraft stand and other alternative means, such as marshallers, are not practicable.","when it is intended to indicate, by a visual aid, the precise
positioning of an aircraft on an aircraft stand .","when it is intended to indicate, by a visual aid, the precise
positioning of an aircraft on an aircraft stand and other alternative means, such as marshallers, are not practicable.","when it is intended to indicate, by a visual aid, the precise
positioning of an aircraft on an aircraft stand and other alternative means, such as marshallers, are not practicable.",B,Air traffic control service shall be:,LTC_TWR
"The azimuth guidance unit and the stopping position indicator shall be of a design such that:
 a) a clear indication of malfunction of either or both is available to the pilot; and
 b) they can be turned off.",A,B,A and B,None of the above.,C,Air traffic control service shall be:,LTC_TWR
"The road-holding position light shall comprise:
 a) a controllable red (stop)/green (go) traffic light; or
 b) a flashing-red light.",A,B,A and B,None of the above.,C,Air traffic control service shall be:,LTC_TWR
"A runway vacated sign shall be located at least on one side of the taxiway. The distance between the sign and
the centre line of a runway shall be not less than the greater of the following:
 a) the distance between the centre line of the runway and the perimeter of the ILS/MLS critical/sensitive area; or
 b) the distance between the centre line of the runway and the lower edge of the inner transitional surface.",A,B,A and B,None of the above.,C,Air traffic control service shall be:,LTC_TWR
"Precision approach runway, category II","A runway served by visual aids and non-visual aid(s) intended for landing
operations following an instrument approach operation type B with a decision height (DH) lower than 60 m (200 ft)
but not lower than 30 m (100 ft) and a runway visual range not less than 300 m.","A runway served by visual aids and non-visual aid(s) intended for landing
operations following an instrument approach operation type B with a decision height (DH) lower than 60 m (200 ft)
but not lower than 30 m (100 ft) and a runway visual range not less than 200 m.","A runway served by visual aids and non-visual aid(s) intended for landing
operations following an instrument approach operation type B with a decision height (DH) lower than 60 m (200 ft)
but not lower than 30 m (100 ft) and a runway visual range not less than 400 m.",all are not correct,A,Air traffic control service shall be:,LTC_TWR
Take-off runway is,A runway intended for take-off only.,A runway intended for landing only.,A part of runway intended for take-off only.,A runway intended for take-off and landing.,A,Minimum flight altitude ensures( according to Annex II rules of the air):,LTC_TWR
World Geodetic System — 1984 (WGS-84) shall be used as the horizontal (geodetic) reference system. Reported aeronautical geographical coordinates (indicating latitude and longitude) shall be expressed in terms of …..?,the WGS-84 geodetic reference datum.,the WGS-84 and GNSS geodetic reference datum.,the WGS-84 geodetic reference hight.,the WGS-84 geodetic reference altitude.,A,Minimum flight altitude ensures( according to Annex II rules of the air):,LTC_TWR
wingspan in Aerodrome reference code E  is,52 m up to but not including 65 m,48 m up to but not including 65 m,52 m up to but not including  68m,42 m up to but not including 65 m,A,Minimum flight altitude ensures( according to Annex II rules of the air):,LTC_TWR
"A wind direction indicator is located at :
and in such a way as to be free from the effects of air disturbances caused by nearby objects.",shall be located so as to be visible from aircraft in flight or on the movement area,shall be located so as to be visible from aircraft in flight or on the landing area,shall be located so as to be visible from aircraft in flight or on the taxing area,shall be located so as to be visible from aircraft in flight or on the parking area,A,Minimum flight altitude ensures( according to Annex II rules of the air):,LTC_TWR
Touchdown zone (TDZ) lights shall be provided in the touchdown zone of a precision approach runway …?,category II or III.,category I or III.,category I or II.,category I .,A,Minimum flight altitude ensures( according to Annex II rules of the air):,LTC_TWR
