question,A,B,C,D,correct_answer,category,type
Responsibility area of Cam Ranh APP has upper limit:,FL155,FL160,"300m (1000 ft) obstacle clearance within 46 km (25Nm) of the navigation aid, initial approach fix, or intermediate fix associated with the approach procedure for that aerodrome.",FL180,A,,LTC_LTCS
"Responsibility area of Cam Ranh APP has lower limit in the circle with radius 30km, centred at ARP:",300m (AMSL),400m (AMSL),350m (AMSL),450m (AMSL),D,,LTC_LTCS
"Responsibility area of Cam Ranh APP has lower limit in the circle with radius from 30km to 74km, centred at ARP:","IFR and VFR flights are permitted, all flights are provided with air traffic control service and IFR flights are separated from other IFR flights and from VFR flights. VFR flights are separated from IFR flights and receive traffic information in respect of other VFR flights",500m (AMSL),750m (AMSL),600m (AMSL),C,,LTC_LTCS
what's the definition of MVA?,Minimum vectoring Altitude,Minimum Vectoring Attitude,Maximum Vectoring Attitude,Maximum Vectoring Altitude,A,,LTC_LTCS
Cam Ranh tower responsibility area has lateral limit :,Circle R= 30km from Cam Ranh tower.,Circle R= 25km from CRA DVOR/DME.,Circle R= 60km from CR NDB.,"A circle with radius 8nm (15km), centered at ARP.",D,,LTC_LTCS
The airspace of Cam Ranh TWR has upper limit:,From ground/water to altitude 2450m.,From ground/water to altitude (including) 2450m.,From ground/water to altitude (including) 750m.,From ground/water to flight level 090.,C,,LTC_LTCS
"Transition level of Cam Ranh airport ( standard pressure 1013,2hpa ) is :",FL 090.,FL080.,FL110.,FL100.,D,,LTC_LTCS
Transition altitude of Cam Ranh airport ( QNH ) is :,2750m.,2450m.,FL090.,2950m.,A,,LTC_LTCS
The minimum sector altitude in a 46km radius of CRA DVOR/DME from 000 to 180 is:,1650m.,1850m.,2300m.,2450m.,A,,LTC_LTCS
The minimum sector altitude in a 46km radius of CRA DVOR/DME from 180 to 360 is:,1850m.,2300m.,1650m.,2450m.,B,,LTC_LTCS
"The lateral limits of W2,W15,W27 airways and Q15 airway  are :",30km and 20km.,20km and 30km.,40km and 20km.,60km and 30km.,B,,LTC_LTCS
The distance from  CRA DVOR/DME to NHATA is :,27km.,30km.,26Km.,45km.,C,,LTC_LTCS
The distance from  CRA DVOR/DME to SUIDA  is :,30km.,26km.,40KM.,25km.,C,,LTC_LTCS
The distance from  CRA DVOR/DME to PANCA  is :,27km.,40km.,25km.,30km,D,,LTC_LTCS
The distance from  CRA DVOR/DME to PHUSA  is :,40km,25km,30km.,35km,C,,LTC_LTCS
Bearing from CRA VOR to NHATA on W2 is :,355°/175°.,175°/355°.,015°/195°.,,A,,LTC_LTCS
Bearing from CRA VOR to PANCA on W15 is :,075°/255°.,255°/075°.,015°/195°.,,B,,LTC_LTCS
Bearing from CRA VOR to SUIDA on W2  is :,227°/047°.,047°/227°.,002°/182°.,,A,,LTC_LTCS
Bearing from CRA VOR to PHUSA on Q15  is :,062°/242°.,242°/062°.,018°/198°.,,A,,LTC_LTCS
STAR for aircraft from Q15 follow RNP APCH RWY 20R,HUNTA2A,HUNTA2B,HUNTA3B,,B,,LTC_LTCS
STAR for aircraft from W2(North) follow ILS Y APCH RWY 20L,COTUN3B,COTUN1B,BANKE1C,,A,,LTC_LTCS
How many SIDs RNP1 for Runway 20L/R,3,4,5,6,C,,LTC_LTCS
How many SIDs RNP1 for Runway 02L/R,3,4,5,6,B,,LTC_LTCS
How many STARs RNP1 for Runway 20L/R,4,5,6,7,A,,LTC_LTCS
How many STARs RNP1 for Runway 02L/R,4,5,6,7,B,,LTC_LTCS
Classification of CRA TWR(  CTL),C.,D,E.,G.,B,,LTC_LTCS
